Round: 133 | Move: up    | Time spent: 0.33s | Reached depth: 3
Round: 134 | Move: left  | Time spent: 0.66s | Reached depth: 3
Round: 135 | Move: up    | Time spent: 6.81s | Reached depth: 4
Round: 136 | Move: right | Time spent: 10.34s | Reached depth: 4
Round: 137 | Move: left  | Time spent: 18.96s | Reached depth: 4
Round: 138 | Move: down  | Time spent: 0.36s | Reached depth: 3
Round: 139 | Move: right | Time spent: 0.66s | Reached depth: 3
Round: 140 | Move: down  | Time spent: 7.62s | Reached depth: 4
Round: 141 | Move: up    | Time spent: 0.51s | Reached depth: 3
Round: 142 | Move: up    | Time spent: 0.38s | Reached depth: 3
Round: 143 | Move: up    | Time spent: 4.21s | Reached depth: 4
Round: 144 | Move: right | Time spent: 0.34s | Reached depth: 3
Round: 145 | Move: left  | Time spent: 3.09s | Reached depth: 4
Round: 146 | Move: left  | Time spent: 2.58s | Reached depth: 4
Round: 147 | Move: right | Time spent: 0.43s | Reached depth: 3
Round: 148 | Move: up    | Time spent: 1.89s | Reached depth: 4
Round: 149 | Move: right | Time spent: 2.23s | Reached depth: 4
Round: 150 | Move: right | Time spent: 2.21s | Reached depth: 4
Round: 151 | Move: up    | Time spent: 2.65s | Reached depth: 4
Round: 152 | Move: down  | Time spent: 2.23s | Reached depth: 4
Round: 153 | Move: right | Time spent: 1.64s | Reached depth: 4
Round: 154 | Move: down  | Time spent: 2.29s | Reached depth: 4
Round: 155 | Move: up    | Time spent: 18.00s | Reached depth: 4
Round: 156 | Move: right | Time spent: 2.00s | Reached depth: 4
Round: 157 | Move: up    | Time spent: 3.66s | Reached depth: 4
Round: 158 | Move: up    | Time spent: 0.33s | Reached depth: 3
Round: 159 | Move: right | Time spent: 0.35s | Reached depth: 3
Round: 160 | Move: up    | Time spent: 0.32s | Reached depth: 3
Round: 161 | Move: right | Time spent: 0.46s | Reached depth: 3
Round: 162 | Move: right | Time spent: 4.31s | Reached depth: 4
Round: 163 | Move: right | Time spent: 4.93s | Reached depth: 4
Round: 164 | Move: right | Time spent: 2.07s | Reached depth: 4
Round: 165 | Move: up    | Time spent: 1.50s | Reached depth: 4
Round: 166 | Move: right | Time spent: 1.10s | Reached depth: 4
Round: 167 | Move: right | Time spent: 3.17s | Reached depth: 4
Round: 168 | Move: up    | Time spent: 2.32s | Reached depth: 4
Round: 169 | Move: up    | Time spent: 2.66s | Reached depth: 4
Round: 170 | Move: up    | Time spent: 3.54s | Reached depth: 4
Round: 171 | Move: right | Time spent: 2.30s | Reached depth: 4
Round: 172 | Move: right | Time spent: 1.47s | Reached depth: 4
Round: 173 | Move: down  | Time spent: 1.86s | Reached depth: 4
Round: 174 | Move: right | Time spent: 1.60s | Reached depth: 4
Round: 175 | Move: right | Time spent: 1.85s | Reached depth: 4
Round: 176 | Move: up    | Time spent: 1.34s | Reached depth: 4
Round: 177 | Move: right | Time spent: 0.91s | Reached depth: 4
Round: 178 | Move: right | Time spent: 1.42s | Reached depth: 4
Round: 179 | Move: up    | Time spent: 18.94s | Reached depth: 4
Round: 180 | Move: up    | Time spent: 4.62s | Reached depth: 4
Round: 181 | Move: right | Time spent: 3.42s | Reached depth: 4
Round: 182 | Move: right | Time spent: 0.97s | Reached depth: 4
Round: 183 | Move: right | Time spent: 1.72s | Reached depth: 4
Round: 184 | Move: up    | Time spent: 2.39s | Reached depth: 4
Round: 185 | Move: right | Time spent: 2.29s | Reached depth: 4
Round: 186 | Move: down  | Time spent: 3.89s | Reached depth: 4
Round: 187 | Move: right | Time spent: 0.35s | Reached depth: 3
Round: 188 | Move: right | Time spent: 1.65s | Reached depth: 4
Round: 189 | Move: up    | Time spent: 2.67s | Reached depth: 4
Round: 190 | Move: right | Time spent: 0.32s | Reached depth: 3
Round: 191 | Move: up    | Time spent: 2.43s | Reached depth: 4
Round: 192 | Move: right | Time spent: 3.95s | Reached depth: 4
Round: 193 | Move: right | Time spent: 2.00s | Reached depth: 4
Round: 194 | Move: right | Time spent: 3.78s | Reached depth: 4
Round: 195 | Move: right | Time spent: 2.01s | Reached depth: 4
Round: 196 | Move: right | Time spent: 1.09s | Reached depth: 4
Round: 197 | Move: down  | Time spent: 1.31s | Reached depth: 4
Round: 198 | Move: right | Time spent: 1.04s | Reached depth: 4
Round: 199 | Move: down  | Time spent: 1.31s | Reached depth: 4
Round: 200 | Move: up    | Time spent: 1.27s | Reached depth: 4
Round: 201 | Move: up    | Time spent: 1.09s | Reached depth: 4
Round: 202 | Move: right | Time spent: 1.19s | Reached depth: 4
Round: 203 | Move: up    | Time spent: 22.02s | Reached depth: 4
Round: 204 | Move: down  | Time spent: 2.22s | Reached depth: 4
Round: 205 | Move: right | Time spent: 1.96s | Reached depth: 4
Round: 206 | Move: down  | Time spent: 2.37s | Reached depth: 4
Round: 207 | Move: down  | Time spent: 2.94s | Reached depth: 4
Round: 208 | Move: right | Time spent: 2.02s | Reached depth: 4
Round: 209 | Move: right | Time spent: 1.39s | Reached depth: 4
Round: 210 | Move: down  | Time spent: 0.41s | Reached depth: 4
Round: 211 | Move: right | Time spent: 0.87s | Reached depth: 4
Round: 212 | Move: up    | Time spent: 1.38s | Reached depth: 4
Round: 213 | Move: up    | Time spent: 1.83s | Reached depth: 4
Round: 214 | Move: up    | Time spent: 2.10s | Reached depth: 4
Round: 215 | Move: up    | Time spent: 1.70s | Reached depth: 4
Round: 216 | Move: right | Time spent: 0.76s | Reached depth: 4
Round: 217 | Move: right | Time spent: 1.03s | Reached depth: 4
Round: 218 | Move: down  | Time spent: 1.83s | Reached depth: 5
Round: 219 | Move: down  | Time spent: 1.57s | Reached depth: 5
Round: 220 | Move: down  | Time spent: 1.72s | Reached depth: 4
Round: 221 | Move: right | Time spent: 1.39s | Reached depth: 4
Round: 222 | Move: right | Time spent: 2.65s | Reached depth: 4
Round: 223 | Move: down  | Time spent: 3.37s | Reached depth: 4
Round: 224 | Move: up    | Time spent: 0.74s | Reached depth: 4
Round: 225 | Move: down  | Time spent: 0.85s | Reached depth: 4
Round: 226 | Move: down  | Time spent: 1.19s | Reached depth: 4
Round: 227 | Move: up    | Time spent: 0.34s | Reached depth: 4
Round: 228 | Move: right | Time spent: 0.57s | Reached depth: 4
Round: 229 | Move: right | Time spent: 3.09s | Reached depth: 5
Round: 230 | Move: up    | Time spent: 0.73s | Reached depth: 4
Round: 231 | Move: right | Time spent: 0.66s | Reached depth: 4
Round: 232 | Move: right | Time spent: 3.06s | Reached depth: 4
Round: 233 | Move: right | Time spent: 3.70s | Reached depth: 4
Round: 234 | Move: right | Time spent: 1.14s | Reached depth: 4
Round: 235 | Move: up    | Time spent: 3.09s | Reached depth: 4
Round: 236 | Move: down  | Time spent: 2.79s | Reached depth: 4
Round: 237 | Move: up    | Time spent: 23.80s | Reached depth: 4
Round: 238 | Move: up    | Time spent: 1.94s | Reached depth: 4
Round: 239 | Move: right | Time spent: 1.25s | Reached depth: 4
Round: 240 | Move: right | Time spent: 1.45s | Reached depth: 4
Round: 241 | Move: up    | Time spent: 1.42s | Reached depth: 4
Round: 242 | Move: right | Time spent: 0.98s | Reached depth: 4
Round: 243 | Move: right | Time spent: 0.53s | Reached depth: 4
Round: 244 | Move: right | Time spent: 0.82s | Reached depth: 4
Round: 245 | Move: right | Time spent: 1.30s | Reached depth: 4
Round: 246 | Move: down  | Time spent: 0.96s | Reached depth: 5
Round: 247 | Move: up    | Time spent: 1.16s | Reached depth: 5
Round: 248 | Move: up    | Time spent: 2.53s | Reached depth: 5
Round: 249 | Move: right | Time spent: 0.35s | Reached depth: 4
Round: 250 | Move: up    | Time spent: 0.91s | Reached depth: 4
Round: 251 | Move: up    | Time spent: 0.81s | Reached depth: 4
Round: 252 | Move: up    | Time spent: 0.95s | Reached depth: 4
Round: 253 | Move: right | Time spent: 1.64s | Reached depth: 4
Round: 254 | Move: up    | Time spent: 1.61s | Reached depth: 4
Round: 255 | Move: up    | Time spent: 1.51s | Reached depth: 4
Round: 256 | Move: left  | Time spent: 1.14s | Reached depth: 4
Round: 257 | Move: up    | Time spent: 1.48s | Reached depth: 4
Round: 258 | Move: up    | Time spent: 2.21s | Reached depth: 4
Round: 259 | Move: right | Time spent: 1.76s | Reached depth: 4
Round: 260 | Move: up    | Time spent: 4.02s | Reached depth: 4
Round: 261 | Move: up    | Time spent: 4.29s | Reached depth: 4
Round: 262 | Move: up    | Time spent: 3.04s | Reached depth: 4
Round: 263 | Move: right | Time spent: 1.23s | Reached depth: 4
Round: 264 | Move: right | Time spent: 1.02s | Reached depth: 4
Round: 265 | Move: up    | Time spent: 3.31s | Reached depth: 4
Round: 266 | Move: right | Time spent: 0.48s | Reached depth: 3
Round: 267 | Move: down  | Time spent: 3.69s | Reached depth: 4
Round: 268 | Move: down  | Time spent: 0.33s | Reached depth: 3
Round: 269 | Move: right | Time spent: 0.52s | Reached depth: 3
Round: 270 | Move: up    | Time spent: 0.43s | Reached depth: 3
Round: 271 | Move: right | Time spent: 2.98s | Reached depth: 4
Round: 272 | Move: down  | Time spent: 3.33s | Reached depth: 4
Round: 273 | Move: down  | Time spent: 1.66s | Reached depth: 4
Round: 274 | Move: right | Time spent: 25.79s | Reached depth: 4
Round: 275 | Move: down  | Time spent: 1.44s | Reached depth: 4
Round: 276 | Move: right | Time spent: 3.13s | Reached depth: 4
Round: 277 | Move: up    | Time spent: 0.37s | Reached depth: 3
Round: 278 | Move: up    | Time spent: 0.32s | Reached depth: 3
Round: 279 | Move: up    | Time spent: 0.40s | Reached depth: 3
Round: 280 | Move: right | Time spent: 0.41s | Reached depth: 3
Round: 281 | Move: right | Time spent: 7.01s | Reached depth: 4
Round: 282 | Move: down  | Time spent: 0.63s | Reached depth: 3
Round: 283 | Move: down  | Time spent: 3.55s | Reached depth: 4
Round: 284 | Move: down  | Time spent: 3.96s | Reached depth: 4
Round: 285 | Move: left  | Time spent: 0.39s | Reached depth: 3
Round: 286 | Move: left  | Time spent: 2.71s | Reached depth: 4
Round: 287 | Move: up    | Time spent: 2.66s | Reached depth: 4
Round: 288 | Move: left  | Time spent: 2.40s | Reached depth: 4
Round: 289 | Move: down  | Time spent: 0.86s | Reached depth: 4
Round: 290 | Move: left  | Time spent: 1.59s | Reached depth: 4
Round: 291 | Move: up    | Time spent: 1.78s | Reached depth: 4
Round: 292 | Move: up    | Time spent: 1.60s | Reached depth: 4
Round: 293 | Move: down  | Time spent: 1.16s | Reached depth: 4
Round: 294 | Move: left  | Time spent: 0.98s | Reached depth: 4
Round: 295 | Move: left  | Time spent: 1.12s | Reached depth: 4
