Round: 88 | Move: down  | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[8, 128, 16, 2], [0, 2, 0, 32], [0, 0, 0, 4], [0, 0, 2, 0]]
Round: 89 | Move: left  | Time spent: 1.49s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [0, 0, 0, 2], [0, 128, 16, 32], [8, 2, 2, 4]]
Round: 90 | Move: right | Time spent: 0.41s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [2, 0, 0, 0], [128, 16, 32, 0], [8, 4, 4, 2]]
Round: 91 | Move: left  | Time spent: 0.27s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 2], [0, 0, 0, 2], [0, 128, 16, 32], [0, 8, 8, 2]]
Round: 92 | Move: right | Time spent: 0.43s | Reached depth: 3 | Max tile: 128 | state: [[4, 0, 0, 2], [2, 0, 0, 0], [128, 16, 32, 0], [16, 2, 0, 0]]
Round: 93 | Move: down  | Time spent: 0.41s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 4, 2], [0, 2, 0, 2], [0, 128, 16, 32], [0, 0, 16, 2]]
Round: 94 | Move: right | Time spent: 0.15s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 0], [0, 0, 4, 4], [0, 2, 4, 32], [0, 128, 32, 2]]
Round: 95 | Move: left  | Time spent: 1.33s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 2], [0, 0, 0, 8], [0, 2, 4, 32], [0, 128, 32, 2]]
Round: 96 | Move: up    | Time spent: 0.21s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 0, 0], [8, 0, 2, 0], [2, 4, 32, 0], [128, 32, 2, 0]]
Round: 97 | Move: up    | Time spent: 0.21s | Reached depth: 3 | Max tile: 128 | state: [[2, 4, 2, 0], [8, 32, 32, 0], [2, 0, 2, 0], [128, 0, 0, 2]]
Round: 98 | Move: right | Time spent: 0.41s | Reached depth: 3 | Max tile: 128 | state: [[2, 4, 2, 2], [8, 32, 32, 0], [2, 0, 2, 2], [128, 0, 0, 0]]
Round: 99 | Move: right | Time spent: 0.11s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 4, 4], [0, 0, 8, 64], [0, 0, 2, 4], [0, 2, 0, 128]]
Round: 100 | Move: up    | Time spent: 0.23s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 8], [0, 0, 8, 64], [0, 0, 2, 4], [2, 0, 2, 128]]
Round: 101 | Move: down  | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[2, 0, 2, 8], [0, 0, 8, 64], [2, 0, 4, 4], [0, 0, 0, 128]]
Round: 102 | Move: right | Time spent: 1.38s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 8], [2, 0, 2, 64], [0, 0, 8, 4], [4, 0, 4, 128]]
Round: 103 | Move: right | Time spent: 0.30s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 8], [0, 0, 4, 64], [0, 0, 8, 4], [2, 0, 8, 128]]
Round: 104 | Move: up    | Time spent: 0.24s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 8], [0, 0, 4, 64], [0, 0, 8, 4], [0, 2, 8, 128]]
Round: 105 | Move: right | Time spent: 0.58s | Reached depth: 3 | Max tile: 128 | state: [[0, 4, 4, 8], [0, 0, 16, 64], [0, 0, 0, 4], [2, 0, 0, 128]]
Round: 106 | Move: right | Time spent: 0.14s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 8, 8], [0, 0, 16, 64], [2, 0, 0, 4], [0, 0, 2, 128]]
Round: 107 | Move: up    | Time spent: 0.15s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 4, 16], [0, 0, 16, 64], [0, 0, 2, 4], [0, 0, 2, 128]]
Round: 108 | Move: left  | Time spent: 0.28s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 4, 16], [0, 0, 16, 64], [0, 0, 4, 4], [0, 0, 2, 128]]
Round: 109 | Move: up    | Time spent: 0.40s | Reached depth: 3 | Max tile: 128 | state: [[4, 16, 0, 0], [16, 64, 0, 0], [8, 0, 0, 0], [2, 128, 0, 2]]
Round: 110 | Move: down  | Time spent: 1.52s | Reached depth: 3 | Max tile: 128 | state: [[4, 16, 0, 2], [16, 64, 0, 0], [8, 128, 2, 0], [2, 0, 0, 0]]
Round: 111 | Move: right | Time spent: 0.36s | Reached depth: 3 | Max tile: 128 | state: [[4, 0, 2, 0], [16, 16, 0, 0], [8, 64, 0, 0], [2, 128, 2, 2]]
Round: 112 | Move: up    | Time spent: 0.29s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 4, 2], [0, 0, 0, 32], [0, 0, 8, 64], [2, 2, 128, 4]]
