Round: 97 | Move: right | Time spent: 0.22s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 64], [0, 0, 0, 128], [0, 0, 0, 4], [4, 0, 8, 8]]
Round: 98 | Move: right | Time spent: 0.32s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 64], [2, 0, 0, 128], [0, 0, 0, 4], [0, 0, 4, 16]]
Round: 99 | Move: down  | Time spent: 0.51s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 64], [0, 0, 2, 128], [0, 2, 0, 4], [0, 0, 4, 16]]
Round: 100 | Move: down  | Time spent: 0.32s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [4, 0, 0, 128], [0, 0, 4, 4], [0, 2, 4, 16]]
Round: 101 | Move: down  | Time spent: 0.18s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 0, 128], [0, 2, 0, 4], [4, 2, 8, 16]]
Round: 102 | Move: right | Time spent: 0.40s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 2, 128], [0, 0, 0, 4], [4, 4, 8, 16]]
Round: 103 | Move: right | Time spent: 0.39s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 2, 128], [0, 0, 2, 4], [0, 8, 8, 16]]
Round: 104 | Move: down  | Time spent: 1.77s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 2, 128], [0, 0, 2, 4], [2, 0, 16, 16]]
Round: 105 | Move: down  | Time spent: 0.21s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 2, 0, 128], [0, 0, 4, 4], [2, 0, 16, 16]]
Round: 106 | Move: down  | Time spent: 0.23s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 4, 0, 128], [0, 0, 4, 4], [2, 2, 16, 16]]
Round: 107 | Move: right | Time spent: 0.21s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 0, 64], [0, 0, 2, 128], [0, 4, 4, 4], [2, 2, 16, 16]]
Round: 108 | Move: right | Time spent: 0.14s | Reached depth: 3 | Max tile: 128 | state: [[0, 2, 0, 64], [0, 0, 2, 128], [0, 0, 4, 8], [0, 0, 4, 32]]
Round: 109 | Move: right | Time spent: 0.27s | Reached depth: 3 | Max tile: 128 | state: [[0, 0, 2, 64], [0, 0, 2, 128], [0, 4, 4, 8], [0, 0, 4, 32]]
